Batch,Condition,Timestamp_us,Deformability,Area,RingRatio,Brightness_Q1,Brightness_Q2,Brightness_Q3,Brightness_Q4
1,0603_hek_10uM_1h_1940_1,1748951292736797,0.0264994,502.5,18.8547,168,176,185,202
1,0603_hek_10uM_1h_1940_1,1748951292737395,0.0361081,512,15.3623,166,171,177,193
1,0603_hek_10uM_1h_1940_1,1748951292742725,0.0520688,1078,24.0312,168,176,185,210
1,0603_hek_10uM_1h_1940_1,1748951292745403,0.0551714,829,22.102,169,177,186,207
1,0603_hek_10uM_1h_1940_1,1748951292751806,0.0581914,916,21.319,169,174,181,203
1,0603_hek_10uM_1h_1940_1,1748951292755199,0.0508571,629.5,20.2114,169,176,185,210
1,0603_hek_10uM_1h_1940_1,1748951292758819,0.0307761,759,21.7486,169,178,186,207
1,0603_hek_10uM_1h_1940_1,1748951292759997,0.0466673,608,20.0499,169,177,186,202
1,0603_hek_10uM_1h_1940_1,1748951292763591,0.119672,325,16.2788,167,173,181,207
1,0603_hek_10uM_1h_1940_1,1748951292768805,0.121564,388,16.5982,168,174,181,218
1,0603_hek_10uM_1h_1940_1,1748951292769009,0.0774172,648.5,20.7364,168,174,186,205
1,0603_hek_10uM_1h_1940_1,1748951292769596,0.0543624,761,17.4786,168,175,182,201
1,0603_hek_10uM_1h_1940_1,1748951292772227,0.0455867,379,23.6008,169,176,185,210
1,0603_hek_10uM_1h_1940_1,1748951292774496,0.0581562,679,20.8567,169,174,185,207
1,0603_hek_10uM_1h_1940_1,1748951292779106,0.0527997,615.5,19.8746,169,177,186,209
1,0603_hek_10uM_1h_1940_1,1748951292789818,0.0460281,690.5,20.199,169,176,182,201
1,0603_hek_10uM_1h_1940_1,1748951292791845,0.0443115,699.5,21.095,168,176,185,202
1,0603_hek_10uM_1h_1940_1,1748951292798636,0.0816113,314.5,18.4932,168,176,187,227
1,0603_hek_10uM_1h_1940_1,1748951292811018,0.0574068,695,20.3838,168,174,185,207
1,0603_hek_10uM_1h_1940_1,1748951292814466,0.0371261,710,20.445,169,176,183,204
1,0603_hek_10uM_1h_1940_1,1748951292815074,0.053696,701,19.5704,169,176,184,205
1,0603_hek_10uM_1h_1940_1,1748951292815883,0.0856119,756.5,20.6277,169,177,186,213
1,0603_hek_10uM_1h_1940_1,1748951292821405,0.0982636,333,16.778,166,172,180,202
1,0603_hek_10uM_1h_1940_1,1748951292825204,0.0482469,645.5,19.4165,168,176,186,207
1,0603_hek_10uM_1h_1940_1,1748951292825799,0.0583972,853,17.621,168,174,180,202
1,0603_hek_10uM_1h_1940_1,1748951292827400,0.140487,1112.5,22.8145,166,173,180,209
1,0603_hek_10uM_1h_1940_1,1748951292828798,0.0458409,658,18.0693,168,174,181,204
1,0603_hek_10uM_1h_1940_1,1748951292833603,0.0546692,1028.5,22.8035,169,176,184,203
1,0603_hek_10uM_1h_1940_1,1748951292834013,0.157206,1155.5,24.6374,169,177,186,212
1,0603_hek_10uM_1h_1940_1,1748951292835198,0.0598288,867,22.3942,169,177,186,210
1,0603_hek_10uM_1h_1940_1,1748951292835421,0.0648058,901,22.7816,169,177,186,211
1,0603_hek_10uM_1h_1940_1,1748951292840801,0.0541453,587.5,19.8872,168,176,182,202
1,0603_hek_10uM_1h_1940_1,1748951292851874,0.0533583,843.5,21.4476,169,177,186,207
1,0603_hek_10uM_1h_1940_1,1748951292856213,0.0253377,908.5,21.7141,169,176,181,203
